Matrix Size,Poor Base Case,Proper Base Case,'Supposed' Cache Optimized,Poor OpenMP,Thrashing OpenMP,Correct OpenMP
2048,0.0302397,0.0156028,0.014356,0.00155215,0.00341072,0.0147434,0.00153425
1024,0.00627781,0.00388586,0.00360185,0.000414799,0.000767085,0.00691845,0.000392456
512,0.00167144,0.00110962,0.000920753,0.000126542,0.000399931,0.00363311,0.00010441
256,0.000423951,0.000322701,0.000296602,4.43183e-05,0.000135329,0.00180078,3.07243e-05
128,9.20884e-05,8.26012e-05,7.78217e-05,2.23439e-05,9.43013e-05,0.000919564,1.23415e-05
64,2.40058e-05,1.98998e-05,1.96218e-05,1.65891e-05,3.34889e-05,0.000444741,8.29473e-06
32,5.96233e-06,5.05745e-06,5.42551e-06,1.33157e-05,1.8581e-05,0.000236197,7.60965e-06
